id,empresa_id,entity,json_column,key,type,required,description,default_value,list_values,created_at
b194b22f-b85a-4cd0-b74e-e526cf11c370,1,solicitantes,info_extra,nivel_estudio,string,false,,,"[""primaria"",""secundaria"",""tecnico"",""tecnologo"",""profesional"",""posgrado""]",2025-08-14 04:00:32.545355+00
b1ade209-fbc1-45bf-9124-6bf6ea8bc7f0,1,informacion_financiera,detalle_financiera,ingresos_actividad_independiente,number,false,Ingresos por actividad independiente,,,2025-08-14 04:03:08.654433+00
b73a680d-a763-4251-a62b-c31d6a722ffb,1,actividad_economica,detalle_actividad,correo_oficina,string,false,Correo laboral,,,2025-08-14 04:03:02.239528+00
b97d2459-dd74-4ccc-99b7-f3ff4bb4c4c4,1,ubicacion,detalle_direccion,arrendador,object,false,Objeto con datos del arrendador,,"[{""key"":""nombre"",""type"":""string"",""required"":true,""description"":""Nombre del arrendador""},{""key"":""telefono"",""type"":""string"",""required"":true,""description"":""Teléfono de contacto""},{""key"":""ciudad"",""type"":""string"",""required"":false,""description"":""Ciudad""},{""key"":""departamento"",""type"":""string"",""required"":false,""description"":""Departamento""}]",2025-08-14 04:02:48.041601+00
bf713c9a-b0c1-466b-8555-bef1ae6cbeed,1,solicitantes,info_extra,nacionalidad,string,false,,,,2025-08-14 04:00:32.545355+00
c05b3055-e4da-414a-b076-8b96045b8ad8,1,solicitud,detalle_credito,garantia,string,false,Tipo de garantía,,"[""hipotecaria"",""prendaria"",""personal"",""libranza""]",2025-08-14 04:42:28.468324+00
c2c8683e-5323-4ca0-8d4c-501ed61df5b6,1,referencias,detalle_referencia,telefono,string,true,Teléfono,,,2025-08-14 04:03:15.260015+00
c3a260f3-c57f-4d85-bfd1-90668320b1d8,1,ubicacion,detalle_direccion,direccion_residencia,string,true,Dirección de residencia,,,2025-08-14 04:02:48.041601+00
c748b7f7-abff-4cd4-90a2-fbee69e42b4a,1,solicitud,detalle_credito,observaciones,string,false,Observaciones del caso,,,2025-08-14 04:42:28.468324+00
c8d1d7f0-9fca-47ea-b1f4-0a795dc9e3a9,1,actividad_economica,detalle_actividad,ciudad_empresa,string,false,Ciudad de la empresa,,,2025-08-14 04:03:02.239528+00
d1a89a8d-b7c2-48dd-bfcf-db61b6a74366,1,actividad_economica,detalle_actividad,actividad_economica_principal,string,false,Actividad principal,,,2025-08-14 04:03:02.239528+00
d42136ae-804c-49d5-ab40-38a1160730db,1,ubicacion,detalle_direccion,valor_mensual_arriendo,number,false,Valor mensual del arriendo,,,2025-08-14 04:02:48.041601+00
d9b41506-fb6b-43ab-9906-6dee9caa56be,1,solicitantes,info_extra,fecha_expedicion,string,false,Fecha YYYY-MM-DD,,,2025-08-14 04:00:32.545355+00
db72dace-eff7-4ead-834e-5140c7f82154,1,informacion_financiera,detalle_financiera,honorarios,number,false,Honorarios,,,2025-08-14 04:03:08.654433+00
dbb84d19-78e7-4671-8c84-37900ed533c3,1,ubicacion,detalle_direccion,id_autenticacion,string,false,Identificador externo,,,2025-08-14 04:02:48.041601+00
de817f44-3af0-41b8-a609-28e0536d0c85,1,ubicacion,detalle_direccion,correo_personal,string,false,Correo personal,,,2025-08-14 04:02:48.041601+00
e924d1ef-3db8-4a4e-9a84-8a5d444caf13,1,ubicacion,detalle_direccion,direccion_residencia,string,true,Dirección,,,2025-08-14 03:47:29.043086+00
e9d42ffd-13c9-4f03-932a-fb55b4cf79f5,1,solicitud,detalle_credito,tipo_credito_id,string,false,UUID del tipo de crédito,,,2025-08-14 04:42:28.468324+00
f618d865-fd03-4f2d-9bec-27c04e86141c,1,actividad_economica,detalle_actividad,tiene_negocio_propio,boolean,false,Indicador negocio propio,,,2025-08-14 04:03:02.239528+00
fe0b535b-d8c7-4154-a60d-7c6beaf79dff,1,solicitantes,info_extra,personas_a_cargo,integer,false,,,,2025-08-14 04:00:32.545355+00
fe7c5d34-5b94-40de-9de2-3873bb733123,1,solicitantes,info_extra,profesion,string,false,,,,2025-08-14 04:00:32.545355+00
ff1b361d-d148-45ec-9c70-c0409638513d,1,referencias,detalle_referencia,ciudad,string,false,Ciudad,,,2025-08-14 04:03:15.260015+00
